created_at,china,covid19,corona,wuhan,pandemic,lockdown,spread,coronavirus,covid,coronavirus_outbreak,flu,stay_home,social_distance,coronavirus_case,novel_coronavirus,covid 19,psa,cough,fever,facial_mask,psa_facial_mask,wuhanvirus,chinavirus,symptomatic,respiratory illness,headache,sore throat,runny nose,respiratory virus,merscov
2020-01-29,64978,"",13441,41405,1359,478,8669,10868,"",8271,2887,191,20,2364,3474,"",15733,758,474,15136,15049,1433,183,216,119,43,42,32,16,15
2020-04-26,1962,14662,4442,800,7254,11597,1412,903,4699,190,579,2290,2200,416,101,869,6,73,70,"","",14,55,11,5,27,5,5,4,""
2020-04-30,2355,17287,2797,590,7629,8769,1317,948,4446,257,755,1790,1580,454,124,853,28,113,58,"","",17,35,9,3,22,10,1,7,""
2020-02-05,16443,"",3402,6808,500,223,1942,2628,"",1729,1062,82,6,851,1730,"",13,242,102,6,3,59,42,12,11,75,5,2,4,1
2020-04-27,2486,18454,3093,1524,7482,8503,1448,953,4131,302,524,1834,1817,326,92,853,17,165,140,"","",28,50,16,11,37,13,8,13,1
2020-02-26,9337,4528,3074,1005,3352,365,3467,1867,103,1567,1067,64,2,1420,513,22,4,122,52,"","",17,22,4,2,4,3,1,6,1
2020-02-22,12915,4129,2142,2521,672,652,1846,1230,123,1337,474,205,5,1668,481,21,5,65,167,5,"",48,35,10,8,15,5,1,1,""
2020-03-06,5557,22094,7335,954,1436,74,4424,4326,509,1861,1381,268,56,2116,384,81,56,476,140,4,"",10,26,23,13,13,17,18,5,5
2020-02-03,24818,"",4217,7634,883,190,3851,3200,"",2266,1536,90,26,359,1346,"",29,328,134,11,9,236,42,15,15,22,6,5,10,8
2020-03-22,3636,12838,7322,535,5099,4102,1955,2227,2127,366,634,2786,4285,587,75,527,61,616,90,"","",42,79,10,7,10,6,2,4,""
2020-02-13,6206,1390,955,1368,137,186,710,588,21,708,157,21,"",608,287,7,4,68,38,2,"",45,11,3,8,"","",1,"",""
2020-03-13,4479,11365,7275,1410,4227,802,2348,3902,2305,777,1411,283,175,493,247,521,69,273,94,4,"",111,19,12,3,9,10,1,3,""
2020-03-12,5714,16377,10469,1038,2661,727,2546,5483,1650,1072,1399,270,374,547,399,939,130,288,96,2,"",69,10,12,14,70,75,12,6,""
2020-04-02,5269,17234,3111,721,7101,5662,2033,748,2561,493,424,2699,2481,443,113,643,19,264,121,"","",48,44,17,5,6,6,7,3,""
2020-03-07,5643,23529,5306,865,2348,45,3131,2754,896,1274,1611,402,177,1338,345,248,23,434,193,1,"",43,20,12,8,53,54,73,8,3
2020-04-14,6600,18165,3201,985,6410,9948,2803,763,3042,330,378,2130,1914,384,95,881,34,104,102,"","",63,47,11,5,13,5,4,7,1
2020-03-23,3669,16426,4666,624,5433,4049,2667,1655,2085,627,654,4058,3802,717,130,450,29,273,104,"","",33,61,25,2,20,16,2,4,2
2020-05-05,2084,20338,3011,1286,13861,9104,1544,556,5370,312,339,1586,2568,519,140,651,10,121,52,2,"",16,13,13,3,9,4,"",55,3
2020-01-26,51900,"",3109,53294,1997,3721,22940,1828,"",7367,5784,118,"",3164,2454,"",29,813,768,10,"",578,121,666,171,22,34,27,151,46
2020-04-11,7120,14934,2891,932,5947,9757,1653,821,3115,175,711,3211,2749,481,109,655,524,92,64,1,"",28,31,36,1,7,1,"",5,""
2020-02-29,24831,14571,20543,2902,5093,197,12400,11590,1062,6968,4691,717,37,4567,1029,733,2687,1278,584,1,"",32,27,15,39,229,214,312,10,2
2020-05-06,1866,19016,2516,760,8391,9818,1243,485,5276,227,415,1964,2370,346,98,655,13,60,53,1,"",28,20,8,7,16,1,"",8,""
2020-03-17,4456,12178,6546,628,6499,2289,2264,2055,1751,565,540,493,2430,299,127,601,155,171,121,"","",73,44,9,3,12,7,1,2,""
2020-04-07,6970,20024,3531,532,7958,6752,1867,806,3246,402,649,2415,2470,455,125,980,20,114,108,"","",31,42,10,5,9,5,2,7,""
2020-03-01,35122,27405,26637,4577,6004,795,18516,17302,1383,6076,7837,1259,159,4103,2104,571,3673,1107,591,4,"",132,40,31,47,62,32,57,27,13
2020-04-05,5943,13954,3404,727,6164,6693,2301,944,2937,438,550,4576,2057,617,134,624,81,170,74,2,"",44,83,19,3,9,6,1,4,""
2020-04-16,7730,18390,2650,1727,7326,8085,2027,632,3124,331,286,1970,1980,535,111,605,35,102,76,1,"",70,69,14,3,8,3,1,2,2
2020-03-04,34889,45326,42481,3521,4502,414,25347,25803,2446,11319,14470,831,183,8378,6424,1441,241,1632,1079,6,1,70,45,46,48,53,44,77,40,11
2020-04-09,6091,17687,3046,824,7678,6480,1981,766,3326,348,341,2602,1819,445,158,661,25,129,65,"","",34,45,12,6,10,5,1,5,2
2020-04-22,2516,20246,3235,1074,8109,7723,1685,660,4777,321,781,2356,1886,353,98,1169,21,94,62,"","",32,34,14,6,11,10,3,5,""
2020-04-17,6203,15021,1983,1273,6509,6745,1211,484,2986,464,490,1726,2066,270,96,499,18,53,47,2,"",44,38,15,12,6,1,4,2,1
2020-04-12,6888,12545,3034,575,7121,7177,1273,803,2437,314,455,2716,1676,407,71,388,22,76,65,2,"",34,59,16,"",173,3,1,2,""
2020-05-03,2064,17544,3678,976,7786,12640,1667,740,6436,214,893,2983,2436,451,92,833,6,76,52,2,"",20,29,5,"",24,12,2,4,1
2020-03-24,4788,14824,4778,711,5274,6166,2724,2105,1600,440,543,4245,3071,493,151,411,27,138,149,"","",31,60,14,"",15,7,1,2,""
2020-03-28,3834,16889,4530,945,6867,5773,1915,1236,4447,347,886,3231,2266,657,91,2857,41,351,82,"","",34,68,19,6,14,12,4,13,""
2020-03-05,5363,10671,12525,858,796,30,7689,8087,400,1678,2215,1383,53,1462,525,59,86,307,154,2,"",15,11,7,16,19,12,4,1,1
2020-02-02,20884,"",6179,8916,407,288,3279,5026,"",1199,1901,70,"",279,1063,"",27,353,220,19,16,128,48,30,9,2,10,5,9,5
2020-02-25,4643,1556,1373,439,1320,236,1485,829,52,617,285,40,1,492,236,6,2,66,54,1,"",7,6,2,3,7,2,"",5,""
2020-04-13,7695,15512,2735,683,6671,7563,1441,821,2573,374,505,1699,1716,347,111,521,47,83,84,"","",48,139,18,4,32,2,14,5,1
2020-03-16,2944,12137,5040,465,4306,1032,2147,2015,1317,725,702,1065,4107,485,187,390,31,261,211,"","",33,8,16,8,13,16,40,8,1
2020-04-25,2097,17474,2794,501,6562,10381,1516,585,4525,217,739,2196,1831,379,142,976,20,65,75,"","",21,32,11,2,12,5,14,2,4
2020-02-17,24740,4879,2746,7385,470,466,2121,1672,89,2661,575,354,2,745,1859,20,20,352,79,1,"",104,63,8,45,7,4,2,27,8
