created_at,chest pain,china,chinavirus,community transmission,corona virus,coronavirus case,coronavirus outbreak,coronavirus spread,cough,covid,antigen test,diarrhoea,dyspnea,fever,flu,headache,infection,nausea,pandemic,respiratory illness,runny nose,sarscov,self isolate,social distance,sore throat,super spreader,symptomatic,tasteless,tiredness,wuhan,zoonotic disease,mask,tweet_count,daily_frequency,Confirmed,Deaths,daily_cases,daily_deaths,cum_frequency
2020-01-22,0.0,3859,33.0,1.0,2073.0,127,235.0,1607.0,58.0,0.0,0.0,1.0,1.0,154.0,740,1.0,666,2.0,193,88.0,6.0,30.0,0.0,12.0,1.0,4.0,3.0,0.0,0.0,9384.0,22.0,7.0,53630,2741,1.0,0.0,1.0,0.0,2741
2020-01-23,2.0,35488,295.0,2.0,6023.0,656,13263.0,12727.0,705.0,0.0,0.0,3.0,0.0,4584.0,2373,29.0,1271,1.0,986,253.0,19.0,156.0,0.0,115.0,17.0,56.0,6.0,1.0,0.0,90932.0,131.0,34.0,314066,21535,1.0,0.0,0.0,0.0,24276
2020-01-24,6.0,126881,707.0,3.0,20442.0,7891,37549.0,40549.0,1862.0,0.0,0.0,11.0,3.0,5055.0,5109,477.0,8579,42.0,4944,852.0,105.0,299.0,0.0,441.0,89.0,42.0,32.0,8.0,0.0,223157.0,126.0,170.0,1130905,82902,2.0,0.0,1.0,0.0,107178
2020-01-25,2.0,176947,644.0,2.0,40036.0,14298,62013.0,57525.0,2073.0,0.0,0.0,2.0,0.0,3281.0,9336,165.0,11672,37.0,6977,459.0,95.0,635.0,1.0,372.0,117.0,949.0,112.0,1.0,1.0,256886.0,37.0,414.0,1635293,125457,2.0,0.0,0.0,0.0,232635
2020-01-26,4.0,274953,711.0,1.0,38678.0,19523,64745.0,134573.0,6826.0,0.0,0.0,9.0,5.0,4769.0,26910,132.0,10624,21.0,10458,1142.0,91.0,452.0,24.0,554.0,172.0,674.0,1512.0,12.0,0.0,328594.0,30.0,322.0,2188433,161112,10.0,0.0,8.0,0.0,393747
2020-01-27,6.0,149478,771.0,2.0,47279.0,11794,42061.0,132643.0,8229.0,0.0,1.0,5.0,2.0,4052.0,17689,249.0,10590,10.0,11687,2462.0,194.0,275.0,48.0,758.0,195.0,34.0,350.0,5.0,66.0,207187.0,38.0,185.0,1684775,97343,11.0,0.0,1.0,0.0,491090
2020-01-28,4.0,159749,749.0,3.0,50846.0,17367,43416.0,86612.0,5080.0,0.0,0.0,7.0,1.0,2334.0,10011,138.0,16322,12.0,9205,2198.0,124.0,190.0,42.0,2001.0,140.0,38.0,170.0,16.0,26.0,171136.0,32.0,278.0,1462218,101650,12.0,0.0,1.0,0.0,592740
2020-01-29,8.0,403369,1193.0,9.0,257510.0,13125,49571.0,54878.0,5808.0,0.0,0.0,17.0,1.0,3037.0,17407,227.0,11976,12.0,7816,799.0,133.0,492.0,25.0,1425.0,258.0,10.0,813.0,25.0,30.0,257302.0,74.0,170671.0,2420393,207654,13.0,0.0,1.0,0.0,800394
2020-01-30,5.0,497278,1050.0,10.0,252887.0,17286,74359.0,88094.0,4687.0,0.0,0.0,14.0,1.0,2936.0,20736,146.0,17378,3.0,9715,489.0,86.0,724.0,11.0,1459.0,347.0,10.0,237.0,37.0,18.0,199551.0,51.0,76224.0,3589672,217326,17.0,0.0,4.0,0.0,1017720
2020-01-31,7.0,483727,1084.0,107.0,168645.0,21510,81696.0,77496.0,5508.0,0.0,0.0,7.0,3.0,1960.0,45317,201.0,8380,6.0,10272,896.0,144.0,450.0,30.0,1152.0,294.0,22.0,148.0,13.0,9.0,157370.0,33.0,7487.0,3010623,155520,23.0,0.0,6.0,0.0,1173240
